"",,,,,,Central,,,,,Eastern,,,Northern,,Western,
Commodity Name,Unit,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja Mbale,Soroti,Arua,Gulu Lira,Hoima,Kabale Kisoro,Mbarara
Apple Bananas,Kg,Retail,1000,400,1000,1000,1000,1200,1200,1300,1000,550,650,1200,,800,1300
"",,Wholesale,700,300,950,800,800,900,1100,900,800,500,600,900,,700,1200
Beef,Kg,Retail,4500,5000,5000,5000,5000,5000,5000,5000,6000 4400,6000,5000,5000 5000,4000,4000 4000,3800
"",,Wholesale,4000,4500,5000,4500,4500,3800,4500,4500,5000 4300,5800,5000,4800 5000,,3500 3500,3500
"Cassava, Dry Fermented",Kg,Retail,,,,,,,570,500,270,550,700,1200 1200,,,1000
"",,Wholesale,,,,,,,550,400,250,450,680,1000 1000,,,800
"Cassava, Flour",Kg,Retail,800,1200,1200,1050,1300,1000,750,1000,1100 900,1000,800,1300 1200,1200,1300 1000,1350
"",,Wholesale,700,1000,1000,800,1200,850,630,800,900 750,700,735,1100 1000,800,1100 700,1220
"Cassava, Fresh",Kg,Retail,500,400,1000,1100,500,350,600,1000,280 150,500,550,1200 800,400,1200 600,1000
"",,Wholesale,430,300,1000,800,450,300,570,800,270 140,400,500,1000 700,300,1000 450,700
"Cassava, Sun dried",Kg,Retail,,,500,,,1000,570,500,620 750,600,700,1400 1000,700,650,1400
"",,Wholesale,,,400,,,850,560,400,600 650,500,680,1200 800,600,400,1000
Cavendish (Bogoya),Kg,Retail,1200,500,2000,1200,650,1000,1700,2200,670 2500,550,700,2700 2000,1500,2500 650,1800
"",,Wholesale,1000,400,1900,900,600,800,1600,1600,600 2000,500,600,2500 1800,1000,2000 400,1500
"Chicken, Exotic",bird,Retail,7000,,8500,9500,9000,6000,8000,5500,8500 7500,8500,,10000 5000,7000,10000 8000,12000
"",,Wholesale,6500,,8000,8000,8500,5000,6000,4800,8000 6000,8000,,8000 4500,6000,9000 6000,12000
"Chicken, Local",bird,Retail,12000,13000,15000,13500,15000,,18000,12000,16000 7500,9000,10000,14500 8000,13000,15000 10000,14000
"",,Wholesale,10000,12000,12000,10000,14000,11500,15000,9000,15000 6000,8500,9500,14000 7000,10000,12000 9000,12000
Coffee (Unprocessed),Kg,Retail,,,1400,,,,,1900,1100,,,,,900,
"",,Wholesale,,,1200,,,,,1830,1000,,,,,800,
Cotton (Unprocessed),Kg,Retail,,,,,,,,,800,,,,,,
"",,Wholesale,,,,,,,,,700,,,,,,
Cow Peas,Kg,Retail,2000,1900,2000,2500,2500,3000,2700,1800,2500 2700,1800,1800,1300 2000,,2200,1400
"",,Wholesale,1800,1800,1800,2300,2000,2500,2400,1600,2400 2500,1400,,1200 1500,,2000,1200
"Dried Beans, Agwede",Kg,Retail,,,1600,1600,,1400,1300,1650,1600,1500,,1200,,,1600
"",,Wholesale,,,1500,1300,,1200,1200,1480,1500,1400,,1000,,,1500
"Dried Beans, Nambale",Kg,Retail,2400,,2000,2000,2000,1800,1800,1700,1700 1400,1600,1700,1200,2000,1600 1900,1700
"",,Wholesale,2200,,1800,1700,1800,1600,1600,1500,1600 1350,1500,1600,1000,1800,1400 1650,1300
"Dried Beans, Yellow",Kg,Retail,2400,1300,2000,1500,1800,2000,1600,1700,2300 2000,1600,1600,1200 1500,1800,1400 2000,1000
"",,Wholesale,2200,1200,1800,1200,1700,1800,1450,1600,2100 1800,1500,,1000 1400,1600,1200 1750,800
"Eggs, Exotic",tray,Retail,5000,6500,6000,6500,6500,6000,5000,6400,7000 5500,5800,7500,6000 6000,6000,8000 6000,7000
"",,Wholesale,4500,6000,5500,4700,5800,5200,4500,5000,6000 5300,5600,6000,5800 5500,5500,6500 5500,6500
"Eggs, Local",tray,Retail,10000,9000,6500,9000,15000,9000,11000,8800,8500 9000,7200,7500,6500,9000,9000 10000,6500
"",,Wholesale,9000,7500,6000,7500,13000,7000,9000,6800,8000 7500,7100,,6000,7500,7500 9000,5500
"Fish, Nile Perch",Kg,Retail,6000,,7000,5500,,7000,7000,5000,7000 5000,4500,5000,4500 8000,,6500 5500,6000
"",,Wholesale,5000,,7000,4500,,6000,6000,4000,6000 4500,4000,5000,3800 7000,,5000 4500,6000
"Fish, Tilapia",whole,Retail,4000,5000,4200,5500,4500,5000,6000,5000,8000 4800,5000,6000,4800 8000,6000,8000 4500,6500
"",,Wholesale,3000,3500,4000,4500,4000,4500,5500,4400,7000 4500,4500,,4000 7500,,7000 4000,5500
Goat Meat,Kg,Retail,6000,6000,6000,5500,6000,6000,6000,5500,6000 5000,5000,5500,6000 5000,5000,5000 4500,5500
"",,Wholesale,5000,5000,6000,4500,5700,4800,4500,4500,5000 4500,4800,5500,5800 5000,,4800 3600,5000
"Groundnuts, Unpounded",Kg,Retail,2800,2400,3000,2200,3000,3000,2700,2400,2700 2000,2300,3000,2600 3000,3000,2800 2600,2800
"",,Wholesale,2600,2200,2800,2100,2500,2500,2400,2200,2600 1800,2100,,2400 2500,2300,2700 2400,2500
"Honey, Processed",ltr,Retail,7500,7000,3500,6500,8000,8000,,8300,4000,6400,,,,8000 10000,10000
"",,Wholesale,7000,6000,3500,4500,7500,7000,,7200,3000,6000,,,,6500 8000,9000
"Honey, Unprocessed",ltr,Retail,,3500,2500,,5000,6500,,5200,2500,3300,,,,6000 7500,8000
"",,Wholesale,,3100,2200,,4500,6000,,4200,2000,3000,,,,5000 6500,7500
Irish Potatoes,Kg,Retail,630,500,1500,1500,1000,1200,,700,900 600,700,,1500 1200,800,457,1500
"",,Wholesale,560,475,1200,1200,900,1000,,600,800 550,600,1200,1300 1000,700,450,1400
Commodity Name,Unit,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kisoro,Mbarara
Maize Flour,Kg,Retail,1500,1300,1500,1400,1500,1600,1300,1200,1400,1000,1400,1600,1300,1600,1400,2000,1500,1600
"",,Wholesale,1400,1100,1200,1200,1300,1200,1150,1050,1300,800,1200,1400,1200,1000,1300,1800,1250,1100
Maize Grain,Kg,Retail,1100,900,1000,1000,1000,700,650,600,650,570,600,600,650,600,600,1500,570,1200
"",,Wholesale,1000,800,800,700,800,600,630,550,630,550,500,550,550,580,550,1400,465,1000
Matooke,Kg,Retail,440,375,1000,250,450,630,450,450,240,1200,550,400,2500,1200,800,,800,700
"",,Wholesale,370,325,1000,200,400,550,400,400,220,1000,450,350,1800,1000,,,600,600
Matooke (Bunch),Bunch,Retail,13000,15000,18500,11000,16000,14000,20000,16000,12000,13000,10000,10000,15000,,15000,,10000,9000
"",,Wholesale,10000,13000,18000,9000,13000,12000,17000,13000,11000,11000,8000,9000,14000,,,,6800,7000
Milk,Ltrs,Retail,1000,1000,750,1000,1000,1000,1000,1000,800,900,800,1000,1000,800,800,500,900,700
"",,Wholesale,800,900,700,800,900,900,900,900,700,700,700,1000,800,600,600,350,600,600
Millet Flour,Kg,Retail,1200,1600,1300,1500,1800,2000,2000,1600,1500,1800,1500,2000,1400,,2500,2000,1600,1350
"",,Wholesale,900,1500,1200,1300,1700,1600,1700,1300,1400,1600,1350,1800,1300,,,1800,1400,1300
Millet Grain,Kg,Retail,1200,1500,1000,1600,1700,1200,1250,1200,1100,1250,1100,1600,1000,,1200,1500,1250,1500
"",,Wholesale,900,1400,800,1400,1600,1000,1150,1100,950,1100,1000,1500,850,,1000,1400,950,1200
Pineapple,whole,Retail,800,800,2000,800,1500,2000,1500,2000,,2500,1400,,3000,,,700,2000,800
"",,Wholesale,700,500,1800,600,1300,1500,1000,1500,,2000,1100,,2700,,,600,1300,500
Pork,Kg,Retail,4700,5000,5000,4500,,5000,5000,,5000,2500,4000,5000,5000,5000,5000,6000,4000,
"",,Wholesale,4000,4500,4500,3500,,4500,4000,,4500,2000,3800,5000,4800,4500,,5000,3000,
Rice (Kayiso),Kg,Retail,2000,2800,2500,2400,,2000,2200,1800,1700,1800,2200,,2500,2000,,,2500,2500
"",,Wholesale,1800,2500,2400,2000,,1800,2000,1680,1600,1600,2000,,2400,1800,,,2300,2500
Rice (Super),Kg,Retail,2400,2300,2500,2300,2400,2500,2400,2200,2300,2400,2400,2200,2700,2500,2500,2500,2500,2250
"",,Wholesale,2200,2200,2400,1800,2300,2300,2200,2050,2200,2200,2200,2000,2500,2300,,2350,2300,2200
Rice (Upland),Kg,Retail,2000,2000,2200,2300,1800,2000,2100,1850,2000,,,2200,2300,2000,2200,2400,2300,
"",,Wholesale,1800,1800,2000,1800,1500,1800,1900,1700,1800,,,2000,2200,1800,2000,2200,2100,
Simsim,Kg,Retail,3000,,2700,3300,2300,3000,3000,2400,2800,,2500,2500,2900,3000,2000,,3000,4000
"",,Wholesale,2800,,2500,2900,2000,2500,2400,2200,2600,,2300,,2800,2800,1700,,2500,3800
Sorghum Flour,Kg,Retail,1000,900,1400,,1800,1200,1000,1000,1200,3000,1000,1500,1000,,,900,,1400
"",,Wholesale,700,800,1200,,1500,900,850,850,1000,2800,750,1400,900,,,800,,1200
Sorghum Grain,Kg,Retail,700,800,800,,1600,1000,700,750,900,850,600,1000,900,,,,800,1000
"",,Wholesale,500,700,800,,1400,700,650,600,800,800,500,800,700,,,,600,750
Soya Beans,Kg,Retail,2000,1400,1800,1400,2300,1700,1000,1400,1800,1000,1400,,1500,1200,2000,2700,1400,1400
"",,Wholesale,1800,1200,1500,1300,2000,1400,800,1150,1700,900,1200,,1300,1000,1200,2500,1300,1000
Sunflower,Kg,Retail,,,,,,,400,,,,450,,,,,,,
"",,Wholesale,,,,,,,370,,,,400,,,,,,,
Sweet Potatoes,Kg,Retail,500,333,1000,1500,400,500,600,1000,360,250,450,400,900,700,400,800,570,1500
"",,Wholesale,400,300,1000,1000,350,400,570,800,340,200,350,350,800,500,300,600,430,1100
Turkey,bird,Retail,,,35000,,42000,45000,45000,3500,55000,,35000,,,,,,30000,
"",,Wholesale,,,30000,,35000,35000,35000,33000,53000,,33000,,,,,,26000,30000
Vanilla (Unprocessed),Kg,Retail,,,,,,,2700,,,,,,,,,,3500,
"",,Wholesale,,,,,,,2400,,,,,,,,,,3000,
